max_depth,Average Training Score,Average Test Score,Mean Absolute Error,Mean Squared Error
1,0.734798165570253,0.735833274386362,0.3637882860578624,0.5788834264695479
2,0.9082543443917851,0.9078322840772441,0.10021928273325316,0.11632241635424771
3,0.9919672962203203,0.9919838013722855,0.008016198627714508,0.008016198627714508
4,1.0,1.0,0.0,0.0
5,1.0,1.0,0.0,0.0
6,1.0,1.0,0.0,0.0
7,1.0,0.9999911579543044,8.842045695692155e-06,8.842045695692155e-06
8,1.0,1.0,0.0,0.0
9,1.0,1.0,0.0,0.0
10,1.0,1.0,0.0,0.0
