Alpha,Testing Mean Absolute Error,Testing Mean Squared Error,Average Training Accuracy,Average Test Accuracy
0.1,1282.7454750287657,2647179.807846119,0.3149692718834118,0.29687667213890256
0.01,1271.0418027863818,2502882.529529621,0.34814460752128207,0.3311510378997293
0.001,1258.2295084517991,2462053.893492483,0.36716176638159176,0.3517101884252624
0.0001,1282.5566412823268,2604579.565600481,0.3350338552243383,0.31658905690849154
1e-05,1295.4575119469505,2621354.9804719505,0.3380734322043082,0.31176603748025417
1.0000000000000002e-06,1268.7941895364684,2563796.237997013,0.35056163685885067,0.33401562662119033
1.0000000000000002e-07,1296.9698505351275,2652860.8395092683,0.33072244913028837,0.3063220012346502
1.0000000000000002e-08,1322.1863131210391,2705490.983802785,0.3237998633336252,0.29983294565055996
1.0000000000000003e-09,1307.995416653202,2683703.3901801324,0.3236872741001906,0.29700775996370654
1.0000000000000003e-10,1342.403033214955,2740478.1642748825,0.29415549313712763,0.2673813811004835
